Code,Depth,O2,d18O,material
190DS,380,36.1,14.59,Root.networks.of.Pteridophytae
195bss,390,39.9,16.33,S.fuscum
195dbss,390,37,15.63,S.magellanicum
200r,400,33.3,16.97,Rhizome
205dbss,410,40.5,16.39,S.magellanicum
210bss,420,37.4,15.88,S.fuscum
215bss,430,37.8,15.91,S.fuscum
220r,440,36.9,22.08,Rhizome
220rbl,440,34.8,13.38,Unknown.Reddishbrown.leaves
220dbss,440,39.7,16.65,S.magellanicum
225bss,450,40.6,16.85,S.fuscum
230bss,460,39.2,17.85,S.fuscum
230rbl,460,27.4,14.77,Unknown.Reddishbrown.leaves
235dbss,470,42.3,16.49,S.magellanicum
235r,470,36.3,16.83,Rhizome
240bss,480,40.2,16.99,S.fuscum
245bss,490,42.5,15.17,S.fuscum
250rbl,500,28.4,17.88,Unknown.Reddishbrown.leaves
250dbss,500,39,15.08,S.magellanicum
255trh,510,35.5,13.19,Tissue.remains.of.Herbacea
260bss,520,38.6,16.56,S.fuscum
265trh,530,32.2,13.37,Tissue.remains.of.Herbacea
270trh,540,33,12.15,Tissue.remains.of.Herbacea
275trh,550,34.7,12.1,Tissue.remains.of.Herbacea
280trh,560,29.8,11.94,Tissue.remains.of.Herbacea
290trh,580,34,13.55,Tissue.remains.of.Herbacea
295trh,590,33.5,7.99,Tissue.remains.of.Herbacea
